id	hierarchy	name	project	description	validation	purpose	pre_condition	basic_course	post_condition	exceptions	remarks
JDF Hera	1	31595	GENERAL_REQUIREMENTS	""	""	""	""	""	""		
JDF Hera	1.1	31596	System overview	""	""	""	""	""	""		
JDF Hera	1.2	31597	Arm rest controller	""	""	Describes sensors and actuators connected to arm rest controller left (ACL) and right (ACR)	""	""	""		
JDF Hera	1.2.1	31600	Boom and boom tilt control joystick	""	"TEST 1. ALARM LIMITS, LEFT JOYSTICK X<br>
<br>
1. Connect a potentiometer to the left boom joystick signal line, such that you can adjust the voltage on the left joystick X axis from 0 to 5000 ±100mV.<br>
<br>
2. Set the potentiometer output voltage to 2500 ±50mV<br>
<br>
3. Verify that the armrest calibration values are set to default (min. 124, zero 512, max. 900 ).<br>
<br>
4. Start up the system<br>
<br>
5. Check from the EJM1 message, that the left joystick X value is 0, and the direction status bit is set to neutral.<br>
<br>
6. Adjust the potentiometer voltage to approx. 2790 ±56mV. Verify from the EJM1 message, that the left joystick X value starts to increase from value 1, and that the direction status bit gets set to LEFT.<br>
<br>
7. Adjust the potentiometer voltage to approx. 4400 ±88mV, and check that the joystick value is roughly 1000.<br>
<br>
8. Keep adjusting the potentiometer voltage higher, until an alarm for the potentiometer voltage too high appears. Check that the voltage is roughly 4880 ±98mV.<br>
<br>
9. Check that the direction bit value for left is set to ""2"", indicating error.<br>
<br>
10. Adjust the potentiometer voltage back to 2500 ±50mV, and check that the alarm gets inactive.<br>
<br>
11. Adjust the potentiometer voltage to approx. 2200 ±44mV. Verify from the EJM1 message, that the left joystick X value starts to increase from value 1, and that the direction status bit gets set to RIGHT.<br>
<br>
12. Adjust the potentiometer voltage to approx. 610 ±12mV, and check that the joystick value is roughly 1000.<br>
<br>
13. Keep adjusting the potentiometer voltage lower, until an alarm for the potentiometer voltage too low appears. Check that the voltage is roughly 117 ±2mV.<br>
<br>
14. Check that the direction bit value for right is set to ""2"", indicating error.<br>
<br>
<br>
TEST 2. ALARM LIMITS, LEFT JOYSTICK Y<br>
<br>
1. Connect a potentiometer to the left boom joystick signal line, such that you can adjust the voltage on the left joystick Y axis from 0 to 5000 ±100mV.<br>
<br>
2. Set the potentiometer output voltage to 2500 ±50mV<br>
<br>
3. Verify that the armrest calibration values are set to default (min. 124, zero 512, max. 900 ).<br>
<br>
4. Start up the system<br>
<br>
5. Check from the EJM1 message, that the left joystick Y value is 0, and the direction status bit is set to neutral.<br>
<br>
6. Adjust the potentiometer voltage to approx. 2790 ±56mV. Verify from the EJM1 message, that the left joystick Y value starts to increase from value 1, and that the direction status bit gets set to DOWN.<br>
<br>
7. Adjust the potentiometer voltage to approx. 4400 ±88mV, and check that the joystick value is roughly 1000.<br>
<br>
8. Keep adjusting the potentiometer voltage higher, until an alarm for the potentiometer voltage too high appears. Check that the voltage is roughly 4880 ±98mV.<br>
<br>
9. Check that the direction bit value for left is set to ""2"", indicating error.<br>
<br>
10. Adjust the potentiometer voltage back to 2500 ±50mV, and check that the alarm gets inactive.<br>
<br>
11. Adjust the potentiometer voltage to approx. 2200 ±44mV. Verify from the EJM1 message, that the left joystick Y value starts to increase from value 1, and that the direction status bit gets set to UP.<br>
<br>
12. Adjust the potentiometer voltage to approx. 610 ±12mV, and check that the joystick value is roughly 1000.<br>
<br>
13. Keep adjusting the potentiometer voltage lower, until an alarm for the potentiometer voltage too low appears. Check that the voltage is roughly 117 ±2mV.<br>
<br>
14. Check that the direction bit value for right is set to ""2"", indicating error.<br>
<br>
<br>
TEST 3. ALARM LIMITS, LEFT JOYSTICK Z<br>
<br>
1. Connect a potentiometer to the left boom joystick signal line, such that you can adjust the voltage on the left joystick Z axis from 0 to 5000 ±100mV.<br>
<br>
2. Set the potentiometer output voltage to 2500 ±50mV<br>
<br>
3. Verify that the armrest calibration values are set to default (min. 124, zero 512, max. 900 ).<br>
<br>
4. Start up the system<br>
<br>
5. Check from the EJM1 message, that the left joystick Z (theta) value is 0, and the direction status bit is set to neutral.<br>
<br>
6. Adjust the potentiometer voltage to approx. 2790 ±56mV. Verify from the EJM1 message, that the left joystick Z value starts to increase from value 1, and that the direction status bit gets set to CLOCKWISE.<br>
<br>
7. Adjust the potentiometer voltage to approx. 4400 ±88mV, and check that the joystick value is roughly 1000.<br>
<br>
8. Keep adjusting the potentiometer voltage higher, until an alarm for the potentiometer voltage too high appears. Check that the voltage is roughly 4880 ±98mV.<br>
<br>
9. Check that the direction bit value for left is set to ""2"", indicating error.<br>
<br>
10. Adjust the potentiometer voltage back to 2500 ±50mV, and check that the alarm gets inactive.<br>
<br>
11. Adjust the potentiometer voltage to approx. 2200 ±44mV. Verify from the EJM1 message, that the left joystick Z value starts to increase from value 1, and that the direction status bit gets set to COUNTERCLOCKWISE.<br>
<br>
12. Adjust the potentiometer voltage to approx. 610 ±12mV, and check that the joystick value is roughly 1000.<br>
<br>
13. Keep adjusting the potentiometer voltage lower, until an alarm for the potentiometer voltage too low appears. Check that the voltage is roughly 117 ±2mV.<br>
<br>
14. Check that the direction bit value for right is set to ""2"", indicating error.<br>
<br>
<br>
TEST 4. ALARM LIMITS, RIGHT JOYSTICK X<br>
<br>
1. Connect a potentiometer to the right boom joystick signal line, such that you can adjust the voltage on the right joystick X axis from 0 to 5000 ±100mV.<br>
<br>
2. Set the potentiometer output voltage to 2500 ±50mV<br>
<br>
3. Verify that the armrest calibration values are set to default (min. 124, zero 512, max. 900 ).<br>
<br>
4. Start up the system<br>
<br>
5. Check from the EJM2 message, that the right joystick X value is 0, and the direction status bit is set to neutral.<br>
<br>
6. Adjust the potentiometer voltage to approx. 2790 ±56mV. Verify from the EJM1 message, that the right joystick X value starts to increase from value 1, and that the direction status bit gets set to LEFT.<br>
<br>
7. Adjust the potentiometer voltage to approx. 4400 ±88mV, and check that the joystick value is roughly 1000.<br>
<br>
8. Keep adjusting the potentiometer voltage higher, until an alarm for the potentiometer voltage too high appears. Check that the voltage is roughly 4880 ±98mV.<br>
<br>
9. Check that the direction bit value for left is set to ""2"", indicating error.<br>
<br>
10. Adjust the potentiometer voltage back to 2500 ±50mV, and check that the alarm gets inactive.<br>
<br>
11. Adjust the potentiometer voltage to approx. 2200 ±44mV. Verify from the EJM1 message, that the right joystick X value starts to increase from value 1, and that the direction status bit gets set to RIGHT.<br>
<br>
12. Adjust the potentiometer voltage to approx. 610 ±12mV, and check that the joystick value is roughly 1000.<br>
<br>
13. Keep adjusting the potentiometer voltage lower, until an alarm for the potentiometer voltage too low appears. Check that the voltage is roughly 117 ±2mV.<br>
<br>
14. Check that the direction bit value for right is set to ""2"", indicating error.<br>
<br>
<br>
TEST 5. ALARM LIMITS, RIGHT JOYSTICK Y<br>
<br>
1. Connect a potentiometer to the right boom joystick signal line, such that you can adjust the voltage on the right joystick Y axis from 0 to 5000 ±100mV.<br>
<br>
2. Set the potentiometer output voltage to 2500 ±50mV<br>
<br>
3. Verify that the armrest calibration values are set to default (min. 124, zero 512, max. 900 ).<br>
<br>
4. Start up the system<br>
<br>
5. Check from the EJM1 message, that the right joystick Y value is 0, and the direction status bit is set to neutral.<br>
<br>
6. Adjust the potentiometer voltage to approx. 2790 ±56mV. Verify from the EJM1 message, that the right joystick Y value starts to increase from value 1, and that the direction status bit gets set to DOWN.<br>
<br>
7. Adjust the potentiometer voltage to approx. 4400 ±88mV, and check that the joystick value is roughly 1000.<br>
<br>
8. Keep adjusting the potentiometer voltage higher, until an alarm for the potentiometer voltage too high appears. Check that the voltage is roughly 4880 ±98mV.<br>
<br>
9. Check that the direction bit value for left is set to ""2"", indicating error.<br>
<br>
10. Adjust the potentiometer voltage back to 2500 ±50mV, and check that the alarm gets inactive.<br>
<br>
11. Adjust the potentiometer voltage to approx. 2200 ±44mV. Verify from the EJM1 message, that the right joystick Y value starts to increase from value 1, and that the direction status bit gets set to UP.<br>
<br>
12. Adjust the potentiometer voltage to approx. 610 ±12mV, and check that the joystick value is roughly 1000.<br>
<br>
13. Keep adjusting the potentiometer voltage lower, until an alarm for the potentiometer voltage too low appears. Check that the voltage is roughly 117 ±2mV.<br>
<br>
14. Check that the direction bit value for right is set to ""2"", indicating error.<br>
<br>
<br>
TEST 6. ALARM LIMITS, RIGHT JOYSTICK Z<br>
<br>
1. Connect a potentiometer to the right boom joystick signal line, such that you can adjust the voltage on the right joystick Z axis from 0 to 5000 ±100mV.<br>
<br>
2. Set the potentiometer output voltage to 2500 ±50mV<br>
<br>
3. Verify that the armrest calibration values are set to default (min. 124, zero 512, max. 890 ).<br>
<br>
4. Start up the system<br>
<br>
5. Check from the EJM1 message, that the right joystick Z (theta) value is 0, and the direction status bit is set to neutral.<br>
<br>
6. Adjust the potentiometer voltage to approx. 2790 ±56mV. Verify from the EJM1 message, that the right joystick Z value starts to increase from value 1, and that the direction status bit gets set to CLOCKWISE.<br>
<br>
7. Adjust the potentiometer voltage to approx. 4400 ±88mV, and check that the joystick value is roughly 1000.<br>
<br>
8. Keep adjusting the potentiometer voltage higher, until an alarm for the potentiometer voltage too high appears. Check that the voltage is roughly 4880 ±98mV.<br>
<br>
9. Check that the direction bit value for left is set to ""2"", indicating error.<br>
<br>
10. Adjust the potentiometer voltage back to 2500 ±50mV, and check that the alarm gets inactive.<br>
<br>
11. Adjust the potentiometer voltage to approx. 2200 ±44mV. Verify from the EJM1 message, that the right joystick Z value starts to increase from value 1, and that the direction status bit gets set to COUNTERCLOCKWISE.<br>
<br>
12. Adjust the potentiometer voltage to approx. 610 ±12mV, and check that the joystick value is roughly 1000.<br>
<br>
13. Keep adjusting the potentiometer voltage lower, until an alarm for the potentiometer voltage too low appears. Check that the voltage is roughly 117 ±2mV.<br>
<br>
14. Check that the direction bit value for right is set to ""2"", indicating error.<br>
<br>
<br>
TEST 7. BOOM TILT CONTROL JOYSTICK TEST<br>
<br>
1. Connect a potentiometer to the boom tilt joystick signal line, such that you can adjust the voltage on the boom tilt joystick input from 0 to 5000 ±100mV.<br>
<br>
2. Set the potentiometer output voltage to 2500 ±50mV<br>
<br>
3. Verify that the armrest calibration values are set to default (min. 220, zero 512, max. 800 ).<br>
<br>
4. Start up the system<br>
<br>
5. Check from the BJM2 message, that the joystick 2 X-axis position value is 0, and the direction status bit is set to neutral.<br>
<br>
6. Adjust the potentiometer voltage to approx. 2790 ±56mV. Verify from the EJM1 message, that the joystick 2 X-axis position value starts to increase from value 1, and that the direction status bit gets set to FORWARD.<br>
<br>
7. Adjust the potentiometer voltage to approx. 4400 ±88mV, and check that the joystick value is roughly 1000.<br>
<br>
8. Keep adjusting the potentiometer voltage higher, until an alarm for the potentiometer voltage too high appears. Check that the voltage is roughly 4880 ±98mV.<br>
<br>
9. Check that the direction bit value for left is set to ""2"", indicating error.<br>
<br>
10. Adjust the potentiometer voltage back to 2500 ±50mV, and check that the alarm gets inactive.<br>
<br>
11. Adjust the potentiometer voltage to approx. 2200 ±44mV. Verify from the BJM2 message, that the joystick 2 X-axis position value starts to increase from value 1, and that the direction status bit gets set to BACK.<br>
<br>
12. Adjust the potentiometer voltage to approx. 610 ±12mV, and check that the joystick value is roughly 1000.<br>
<br>
13. Keep adjusting the potentiometer voltage lower, until an alarm for the potentiometer voltage too low appears. Check that the voltage is roughly 117 ±2mV.<br>
<br>
14. Check that the direction bit value for right is set to ""2"", indicating error.<br>
<br>
<br>
TEST 8. FILTERING TEST<br>
<br>
1. Set SLOW and FAST filter off (parameter to 0).<br>
<br>
2. Use CANalyzator to check that BOOM joystick X, Y and Z axels on both LEFT and RIGHT joysticks signal response is step-alike to step-alike movement.<br>
<br>
3. Set SLOW joystick filter parameter to it's default value 900 for both LEFT and RIGHT joysticks.<br>
<br>
4. Use step-alike movements to test that signal response is as fast as before but now curve's last corner is smoother as the movement reaches it's maximum.<br>
<br>
5. Deviate the joystick about to the middle of it's left or right range and with fast but small movements check that vibration of the joystick signal is filtered out.<br>
<br>
6. Set FAST filters (left and right) to it's default 600 and check that response to joystick movement is now filtered also for the fast changes, compare to step 4 curves.<br>
<br>
7. Set SLOW to 1020 and FAST to 150 for both LEFT and RIGHT and check that fast movement is now more responsive than in step 6 but slow filtering is much slower (use small vibrative movement to test)<br>
<br>
8. Set filtering values back to defaults SLOW(s) to 900 and FAST(s) to 600."	ACL/R reads signals from the joysticks, filters them and sends them to other controllers.	A. Controller is in normal operating mode.	""	""		
JDF Hera	1.2.1.1	32985	EJM1,EJM2 and BJM2 sending periods	""	"TEST 1. Sending periods of EJM1, EJM2 and BJM2<br>
<br>
1. Prepare the CANalyzer to log on-line joystick signals<br>
<br>
2. Start up the system and do not touch any joysticks<br>
<br>
3. Check that EJM1, EJM2 and BJM2 are send periodically on every 80 ms.<br>
<br>
4. Turn left boom joystick on one direction and see on CANalyzer that EJM1 sending period is changed to 20 ms.<br>
<br>
5. Release the joystick and see on CANalyzer that EJM1 sending period is now 80 ms.<br>
<br>
6. As define on steps 4 and 5 go through all x, y and z directions (six cases) of the left boom joystick and verify that sending period changes as descriped.<br>
<br>
7. Do the same steps 4, 5 and 6 for the right boom joystick and check EJM2 sending periods.<br>
<br>
8. Do the same steps 4 and 5 for the extra joystick (only x-direction) and check that BJM2 joystick message sending period changes also as descriped.<br>
<br>
9. Do a mixed-up test; use as many joysticks as possible at the same time.<br>
<br>
10. Check that during the joystick usage the sending periods of joystick messages are 20 ms.<br>
<br>
11. Release all joysticks.<br>
<br>
12. Check that the sending periods are now 80 ms."	Sending periods changes according joystick(s) activity	Joysticks are in normal mode	""	""		
JDF Hera	1.2.2	31601	Steering joystick	""	"TEST 1. POTENTIOMETER INPUT READING AND SCALING (Table test using separate potentiometers)<br>
<br>
1. Start up the system to Primary Normal state.<br>
<br>
2. Set steering joystick values to defaults; min to 180, max to 850 and zero point to 512.<br>
<br>
3. Switch off potentiometer 2 and 3 signals.<br>
<br>
4. Set the potentiometer 1 value to 890 ±18mV. Check that the steering value is 1000, and steering RIGHT position status is active.<br>
<br>
5. Set the potentiometer 1 value to 2500 ±50mV. Check that the steering value is 0, and steering NEUTRAL position status is active.<br>
<br>
6. Set the potentiometer 1 value to 4150 ±83mV. Check that the steering value is 1000, and steering LEFT position status is active.<br>
<br>
7. Switch off potentiometer 1 and 3 signals, activate signal 2.<br>
<br>
8. Set the potentiometer 2 value to 880 ±18mV. Check that the steering value is 1000, and steering RIGHT position status is active.<br>
<br>
9. Set the potentiometer 2 value to 2500 ±50mV. Check that the steering value is 0, and steering NEUTRAL position status is active.<br>
<br>
10. Set the potentiometer 2 value to 4150 ±83mV. Check that the steering value is 1000, and steering LEFT position status is active.<br>
<br>
11. Switch off potentiometer 1 and 2 signals, activate signal 3.<br>
<br>
12. Set the potentiometer 3 value to 880 ±18mV. Check that the steering value is 1000, and steering RIGHT position status is active.<br>
<br>
13. Set the potentiometer 3 value to 2500 ±50mV. Check that the steering value is 0, and steering NEUTRAL position status is active.<br>
<br>
14. Set the potentiometer 3 value to 4150 ±83mV. Check that the steering value is 1000, and steering LEFT position status is active."	""	""	""	""		
JDF Hera	1.2.2.1	31747	Voting algorithm	""	"TEST 1. POTENTIOMETER 1 ALARM LIMITS (Table test using separate potentiometers)<br>
<br>
1. Set all three potentiometer voltages to 2500 ±50mV.<br>
<br>
2. Start up the system to Primary Normal state.<br>
<br>
3. Change potentiometer 1 voltage slowly lower, until the alarm for the potentiometer 1 signal too low gets active.<br>
<br>
4. Check the potentiometer 1 voltage, it should be approx. 117 ±2mV<br>
<br>
5. Check the steering signal output. It must be 0.<br>
<br>
6. Change the potentiometer 1 voltage slowly lower until it reaches zero. Check that the alarm stays active and steering value stays at 0.<br>
<br>
7. Change the value of the potentiometer 2 to 1500 mV. The steering signal value should be 165, and steering direction should be RIGHT.<br>
<br>
8. Change potentiometer 2 value back to 2500 ±50mV.<br>
<br>
9. Change the potentiometer 1 voltage slowly higher, until the alarm gets inactive.<br>
<br>
10. Check the potentiometer 1 voltage, it should be approx. 117 ±2mV<br>
<br>
11. Change potentiometer 1 voltage slowly higher, until the alarm for the potentiometer 1 signal too high gets active.<br>
<br>
12. Check the potentiometer 1 voltage, it should be approx. 4880 ±98mV<br>
<br>
13. Change the potentiometer 1 voltage slowly higher until it reaches 5000 ±100mV. Check that the alarm stays active.<br>
<br>
14. Change the potentiometer 1 voltage slowly lower, until the alarm gets inactive.<br>
<br>
15. Check the potentiometer 1 voltage, it should be approx. 4880 ±98mV<br>
<br>
<br>
TEST 2. POTENTIOMETER 2 ALARM LIMITS (Table test using separate potentiometers)<br>
<br>
1. Set all three potentiometer voltages to 2500 ±50mV.<br>
<br>
2. Start up the system to Primary Normal state.<br>
<br>
3. Change potentiometer 2 voltage slowly lower, until the alarm for the potentiometer 2 signal too low gets active.<br>
<br>
4. Check the potentiometer 2 voltage, it should be approx. 117 ±2mV<br>
<br>
5. Check the steering signal output. It must be 0.<br>
<br>
6. Change the potentiometer 2 voltage slowly lower until it reaches zero. Check that the alarm stays active and steering value stays at 0.<br>
<br>
7. Change the value of the potentiometer 1 to 1500 mV. The steering signal value should be 165, and steering direction should be RIGHT.<br>
<br>
8. Change potentiometer 1 value back to 2500 ±50mV.<br>
<br>
9. Change the potentiometer 2 voltage slowly higher, until the alarm gets inactive.<br>
<br>
10. Check the potentiometer 2 voltage, it should be approx. 117 ±2mV<br>
<br>
11. Change potentiometer 2 voltage slowly higher, until the alarm for the potentiometer 2 signal too high gets active.<br>
<br>
12. Check the potentiometer 2 voltage, it should be approx. 4880 ±98mV<br>
<br>
13. Change the potentiometer 2 voltage slowly higher until it reaches 5000 ±100mV. Check that the alarm stays active.<br>
<br>
14. Change the potentiometer 2 voltage slowly lower, until the alarm gets inactive.<br>
<br>
15. Check the potentiometer 2 voltage, it should be approx. 4880 ±98mV<br>
<br>
<br>
TEST 3. POTENTIOMETER 3 ALARM LIMITS (Table test using separate potentiometers)<br>
<br>
1. Set all three potentiometer voltages to 2500 ±50mV.<br>
<br>
2. Start up the system to Primary Normal state.<br>
<br>
3. Change potentiometer 3 voltage slowly lower, until the alarm for the potentiometer 3 signal too low gets active.<br>
<br>
4. Check the potentiometer 3 voltage, it should be approx. 117 ±2mV<br>
<br>
5. Check the steering signal output. It must be 0.<br>
<br>
6. Change the potentiometer 3 voltage slowly lower until it reaches zero. Check that the alarm stays active and steering value stays at 0.<br>
<br>
7. Change the value of the potentiometer 2 to 1500 mV. The steering signal value should be 165, and steering direction should be RIGHT.<br>
<br>
8. Change potentiometer 2 value back to 2500 ±50mV.<br>
<br>
9. Change the potentiometer 3 voltage slowly higher, until the alarm gets inactive.<br>
<br>
10. Check the potentiometer 3 voltage, it should be approx. 117 ±2mV<br>
<br>
11. Change potentiometer 3 voltage slowly higher, until the alarm for the potentiometer 3 signal too high gets active.<br>
<br>
12. Check the potentiometer 3 voltage, it should be approx. 4880 ±98mV<br>
<br>
13. Change the potentiometer 3 voltage slowly higher until it reaches 5000 ±100mV. Check that the alarm stays active.<br>
<br>
14. Change the potentiometer 3 voltage slowly lower, until the alarm gets inactive.<br>
<br>
15. Check the potentiometer 3 voltage, it should be approx. 4880 ±98mV<br>
<br>
<br>
TEST 4. TWO SIGNALS (2 & 3) OUTSIDE ALARM LIMITS (Table test using separate potentiometers)<br>
<br>
1. Set all three potentiometer voltages to 2500 ±50mV.<br>
<br>
2. Start up the system to Primary Normal state.<br>
<br>
3. Change potentiometer 3 voltage slowly lower, until the alarm for the potentiometer 3 signal too low gets active.<br>
<br>
4. Check the potentiometer 3 voltage, it should be approx. 117 ±2mV<br>
<br>
5. Check the steering signal output. It must be 0.<br>
<br>
6. Change potentiometer 2 voltage slowly lower, until the alarm for the potentiometer 2 signal too low gets active.<br>
<br>
7. Check the potentiometer 2 voltage, it should be approx. 117 ±2mV<br>
<br>
8. Check the steering signal output. It must be 0.<br>
<br>
9. Check by rotating potentiometer 1 that it responds to the control.<br>
<br>
<br>
TEST 5. TWO SIGNALS (1 & 3) OUTSIDE ALARM LIMITS (Table test using separate potentiometers)<br>
<br>
1. Set all three potentiometer voltages to 2500 ±50mV.<br>
<br>
2. Start up the system to Primary Normal state.<br>
<br>
3. Change potentiometer 3 voltage slowly lower, until the alarm for the potentiometer 3 signal too low gets active.<br>
<br>
4. Check the potentiometer 3 voltage, it should be approx. 117 ±2mV<br>
<br>
5. Check the steering signal output. It must be 0.<br>
<br>
6. Change potentiometer 1 voltage slowly lower, until the alarm for the potentiometer 1 signal too low gets active.<br>
<br>
7. Check the potentiometer 1 voltage, it should be approx. 117 ±2mV<br>
<br>
8. Check the steering signal output. It must be 0.<br>
<br>
9. Check by rotating potentiometer 2 that it responds to the control.<br>
<br>
<br>
TEST 6. TWO SIGNALS (1 & 2) OUTSIDE ALARM LIMITS (Table test using separate potentiometers)<br>
<br>
1. Set all three potentiometer voltages to 2500 ±50mV.<br>
<br>
2. Start up the system to Primary Normal state.<br>
<br>
3. Change potentiometer 2 voltage slowly lower, until the alarm for the potentiometer 2 signal too low gets active.<br>
<br>
4. Check the potentiometer 2 voltage, it should be approx. 117 ±2mV<br>
<br>
5. Check the steering signal output. It must be 0.<br>
<br>
6. Change potentiometer 1 voltage slowly lower, until the alarm for the potentiometer 1 signal too low gets active.<br>
<br>
7. Check the potentiometer 1 voltage, it should be approx. 117 ±2mV<br>
<br>
8. Check the steering signal output. It must be 0.<br>
<br>
9. Check by rotating potentiometer 3 that it responds to the control.<br>
<br>
<br>
TEST 7. ALL SIGNALS OUTSIDE ALARM LIMITS (Table test using separate potentiometers)<br>
<br>
1. Set all three potentiometer voltages to 2500 ±50mV.<br>
<br>
2. Start up the system to Primary Normal state.<br>
<br>
3. Change potentiometer 1 voltage slowly lower, until the alarm for the potentiometer 1 signal too low gets active.<br>
<br>
4. Check the potentiometer 1 voltage, it should be approx. 117 ±2mV<br>
<br>
5. Check the steering signal output. It must be 0.<br>
<br>
6. Change potentiometer 2 voltage slowly lower, until the alarm for the potentiometer 2 signal too low gets active.<br>
<br>
7. Check the potentiometer 2 voltage, it should be approx. 117 ±2mV<br>
<br>
8. Check the steering signal output. It must be 0.<br>
<br>
9. Change potentiometer 3 voltage slowly lower, until the alarm for the potentiometer 3 signal too low gets active.<br>
<br>
10. Check the potentiometer 3 voltage, it should be approx. 117 ±2mV<br>
<br>
11. Check the steering signal output. It must be 0.<br>
<br>
<br>
TEST 8. VOTING, POTENTIOMETER 1 (Table test using separate potentiometers)<br>
<br>
1. Set all three potentiometer voltages to 2500 ±50mV.<br>
<br>
2. Verify that the voting window is set to the default value (50).<br>
<br>
3. Verify that the joystick calibration values are set to default values (min. 180, zero point 512, max. 850)<br>
<br>
4. Start up the system to Primary Normal state.<br>
<br>
5. Change potentiometer 1 voltage slowly lower, until an alarm for potentiometer 1 signal being discarded in voting appears.<br>
<br>
6. Check the voltage of the potentiometer 1. It should be approx. 2260 ±45mV.<br>
<br>
7. Check the steering signal output. It must be 0.<br>
<br>
8. Change the value of the potentiometer 2 to 1500 mV. The steering signal value should be 97, and steering direction should be RIGHT.<br>
<br>
9. Change potentiometer 2 value back to 2500 ±50mV.<br>
<br>
10. Change potentiometer 1 voltage slowly higher, and verify that the alarm gets inactive.<br>
<br>
11. Change potentiometer 1 voltage slowly higher, until the alarm appears again.<br>
<br>
12. Check the voltage of the potentiometer 1. It should be approx. 2740 ±55mV.<br>
<br>
13. Check the steering signal output. It must be 0.<br>
<br>
<br>
TEST 9. VOTING, POTENTIOMETER 2 (Table test using separate potentiometers)<br>
<br>
1. Set all three potentiometer voltages to 2500 ±50mV.<br>
<br>
2. Verify that the voting window is set to the default value (50).<br>
<br>
3. Start up the system to Primary Normal state.<br>
<br>
4. Change potentiometer 2 voltage slowly lower, until an alarm for potentiometer 2 signal being discarded in voting appears.<br>
<br>
5. Check the voltage of the potentiometer 2. It should be approx. 2260 ±45mV.<br>
<br>
6. Change potentiometer 2 voltage slowly higher, and verify that the alarm gets inactive.<br>
<br>
7. Change potentiometer 2 voltage slowly higher, until the alarm appears again.<br>
<br>
8. Check the voltage of the potentiometer 2. It should be approx. 2740 ±55mV.<br>
<br>
<br>
TEST 10. VOTING, POTENTIOMETER 3 (Table test using separate potentiometers)<br>
<br>
1. Set all three potentiometer voltages to 2500 ±50mV.<br>
<br>
2. Verify that the voting window is set to the default value (50).<br>
<br>
3. Start up the system to Primary Normal state.<br>
<br>
4. Change potentiometer 3 voltage slowly lower, until an alarm for potentiometer 3 signal being discarded in voting appears.<br>
<br>
5. Check the voltage of the potentiometer 3. It should be approx. 2260 ±45mV.<br>
<br>
6. Change potentiometer 3 voltage slowly higher, and verify that the alarm gets inactive.<br>
<br>
7. Change potentiometer 3 voltage slowly higher, until the alarm appears again.<br>
<br>
8. Check the voltage of the potentiometer 3. It should be approx. 2740 ±55mV."	""	""	""	""		
JDF Hera	1.2.2.2	32986	BJM3 sending period	""	"TEST 1. Sending periods of BJM3<br>
<br>
1. Prepare the CANalyzer to log on-line steering joystick signal<br>
<br>
2. Start up the system and do not touch steering joystick<br>
<br>
3. Check that BJM3 is send periodically on every 80 ms.<br>
<br>
4. Turn steering joystick left and see on CANalyzer that BJM3 sending period is changed to 20 ms.<br>
<br>
5. Release the joystick and see on CANalyzer that BJM3 sending period is now 80 ms.<br>
<br>
6.Turn steering joystick right and see on CANalyzer that BJM3 sending period is changed to 20 ms.<br>
<br>
7.Release the joystick and see on CANalyzer that BJM3 sending period is again 80 ms."	Sending periods changes according joystick activity	Joysticks are in normal mode	""	""		
JDF Hera	1.2.3	31602	Buttons	""	"TEST 1. BUTTON DATA<br>
<br>
1. Verify that correct bits in the KBM1 and KBM2 messages are set by pressing each button on the keypads, and comparing the bit set in the CAN messages to the table in REQ20991.<br>
<br>
<br>
TEST 2. BUTTON RESPONSE TIME<br>
<br>
1. Monitor CAN data such that you can measure the transmission interval of KBM1 and KBM2 messages.<br>
<br>
2. Press a button on each side keypad rapidly, and check that the button press is sent at minimum 20 ms interval.<br>
<br>
3. Verify that button presses are sent every 40 ms when no buttons are being pressed."	""	""	""	""		
JDF Hera	1.2.4	31603	Drive direction switch	""	"TEST 1. DIRECTIONS<br>
<br>
1. Put the drive direction switch to center position (both inputs off). Verify that the bits in KBM2 message are off.<br>
<br>
2. Put the drive direction switch to forward position. Verify that the correct bit is set in KBM2 message.<br>
<br>
3. Put the drive direction switch to backwards position. Verify that the correct bit is set in KBM2 message.<br>
<br>
4. Connect a jumper wire such that both inputs are active at the same time. Verify that the bits in KBM2 message are off, and an alarm is sent.<br>
<br>
<br>
TEST 2. CABLE DISCONNECT<br>
<br>
1. Put the drive direction switch to forward position. Verify that the correct bit is set in KBM2 message.<br>
<br>
2. Disconnect the drive direction switch cable. Verify that the bits in KBM2 message are off."	""	""	""	""		
